"order","vars","cell","target_count","target_pct","sample_n","sample_pct","raking_pct","mlcal_pct","rel_imbalance_raking","rel_imbalance_mlcal"
1,"sex","男性",1308.38174140402,50.6602770464424,4236,48.3893077450308,50.6602770464426,50.6602770464425,3.50640964274986e-15,2.38435855706991e-15
1,"sex","女性",1274.27634434741,49.3397229535576,4518,51.6106922549692,49.3397229535574,49.3397229535575,-3.60025702023559e-15,-2.4481747737602e-15
1,"age","20至29歲",365.622693206458,14.1568369124665,1898,21.6815170207905,14.1568369124665,14.1568369124664,-7.5286175169652e-16,-7.40314055834911e-15
1,"age","30至39歲",430.04477382191,16.651246876018,2724,31.117203564085,16.651246876018,16.651246876018,-2.13360218922542e-16,2.13360218922542e-16
1,"age","40至49歲",537.183648252679,20.7996424775054,2656,30.3404158099155,20.7996424775053,20.7996424775053,-2.04967773805308e-15,-2.39129069439526e-15
1,"age","50至59歲",475.162664744738,18.3982025095084,869,9.92689056431346,18.3982025095084,18.3982025095084,9.65505645718495e-16,2.89651693715549e-15
1,"age","60歲及以上",774.644305725633,29.9940712245017,607,6.93397304089559,29.9940712245017,29.9940712245018,7.10683185128601e-16,2.60583834547154e-15
1,"edu","高中職及以下",1175.10208218625,45.4997155321998,1086,12.4057573680603,45.4997155321999,45.4997155321999,2.03013479465477e-15,6.24656859893776e-16
1,"edu","專科及以上",1407.55600356517,54.5002844678002,7668,87.5942426319397,54.5002844678001,54.5002844678001,-1.30374133401066e-15,-5.21496533604262e-16
1,"arear","北北基宜蘭區",833.558795230551,32.2752283714717,3556,40.6214302033356,32.2752283714717,32.2752283714717,-4.40302220379115e-16,-1.10075555094779e-15
1,"arear","桃竹苗區",430.651669509929,16.6747457546101,1373,15.6842586246287,16.6747457546101,16.6747457546101,0,-6.39178623365506e-16
1,"arear","中彰投區",486.954918679404,18.8547962026389,1559,17.8090015992689,18.8547962026389,18.8547962026389,0,7.53699725124215e-16
1,"arear","雲嘉南區",371.173428384616,14.3717602586416,988,11.2862691341101,14.3717602586416,14.3717602586416,1.11240455357508e-15,1.8540075892918e-15
1,"arear","高屏區",397.632187750941,15.3962380829536,1168,13.3424720127942,15.3962380829536,15.3962380829536,-1.26913633889807e-15,2.3075206161783e-16
1,"arear","花東區",62.6870861959766,2.42723132968404,110,1.25656842586246,2.42723132968404,2.42723132968404,-1.82961221874089e-16,1.82961221874089e-16
1,"party_kmt","0-4 冷淡",1109.01723532118,42.9409235949448,5345,61.0578021475897,42.9409235949447,42.9409235949448,-1.15828881493975e-15,4.96409492117037e-16
1,"party_kmt","5 中間",795.456662395492,30.7999214756318,1860,21.2474297464016,30.7999214756318,30.7999214756318,1.03813326714167e-15,3.46044422380556e-16
